trial,controller,passed,final_altitude_m,max_altitude_m,max_tilt_deg,final_tilt_deg,max_lateral_m,final_lateral_m,max_angular_rate_radps,min_body_z,saturation_fraction,mass_kg,inertia_scale,thrust_n,wind_x_mps,wind_y_mps,wind_speed_mps,thrust_misalign_deg,thrust_offset_x_m,cp_z_m,cn_alpha,max_gimbal_deg
32,open_loop,0,-5.5942,7.25591,177.958,126.49,24.7156,24.7156,5.73283,-0.999365,0,50.0919,1.09623,864.975,-3.40247,3.86248,5.14739,1.10783,0.00476552,0.524472,2.95813,4.10312
32,pd_tvc,1,32.5069,32.5069,10.4581,9.37884,11.6357,11.6357,0.479353,0.983388,0,50.0919,1.09623,864.975,-3.40247,3.86248,5.14739,1.10783,0.00476552,0.524472,2.95813,4.10312
32,lqr_tvc,1,32.8443,32.8443,8.23568,7.75402,9.51628,9.51628,0.413971,0.989687,0,50.0919,1.09623,864.975,-3.40247,3.86248,5.14739,1.10783,0.00476552,0.524472,2.95813,4.10312
33,open_loop,1,31.3911,31.3911,14.5526,9.7712,3.97613,3.97613,0.548578,0.967917,0,51.0787,0.861522,862.213,5.33978,0.132899,5.34143,2.20029,0.00159762,0.469175,2.39252,5.98294
33,pd_tvc,1,28.9447,28.9447,18.9106,14.6589,19.14,19.14,0.938805,0.946025,0,51.0787,0.861522,862.213,5.33978,0.132899,5.34143,2.20029,0.00159762,0.469175,2.39252,5.98294
33,lqr_tvc,1,29.8982,29.8982,15.2381,12.1613,15.686,15.686,0.862531,0.964842,0,51.0787,0.861522,862.213,5.33978,0.132899,5.34143,2.20029,0.00159762,0.469175,2.39252,5.98294
34,open_loop,0,33.138,33.138,32.8154,32.8154,4.20475,4.20475,0.63588,0.840421,0,49.2365,0.92847,851.618,1.93933,0.444459,1.98961,1.72903,0.000547841,0.342429,2.50316,4.11476
34,pd_tvc,1,31.691,31.691,15.0813,12.8619,16.1687,16.1687,0.73158,0.965558,0,49.2365,0.92847,851.618,1.93933,0.444459,1.98961,1.72903,0.000547841,0.342429,2.50316,4.11476
34,lqr_tvc,1,32.3549,32.3549,12.0733,10.4984,13.2051,13.2051,0.659489,0.977881,0,49.2365,0.92847,851.618,1.93933,0.444459,1.98961,1.72903,0.000547841,0.342429,2.50316,4.11476
35,open_loop,0,30.8757,30.8757,49.9549,49.9549,9.17545,9.17545,0.868279,0.643391,0,49.2206,1.1232,836.019,3.33919,4.50031,5.60384,2.13819,0.00025739,0.22265,2.2957,4.82783
